
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp"

="lnfdiout",="0.00112***",="0.000908***",="0.000899***",="0.000150",="0.000136**"
="",="(0.000296)",="(0.000265)",="(0.000267)",="(0.000124)",="(0.0000645)"

="lnsaving",="",="0.165***",="0.170***",="0.0492***",="0.0214***"
="",="",="(0.0190)",="(0.0185)",="(0.00803)",="(0.00231)"

="grpop",="",="",="-17.71***",="5.721***",="-0.771***"
="",="",="",="(2.255)",="(1.878)",="(0.139)"

="lnhc",="",="",="",="2.976***",="0.0245***"
="",="",="",="",="(0.0696)",="(0.00787)"

="L.lngdp",="",="",="",="",="0.981***"
="",="",="",="",="",="(0.00194)"

="_cons",="9.086***",="8.521***",="8.849***",="6.729***",="0.146***"
="",="(0.121)",="(0.126)",="(0.123)",="(0.0863)",="(0.0174)"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="3787",="3787",="3787",="3787",="3787"
="r2",="0.920",="0.931",="0.933",="0.976",="0.998"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
