
="",="(1)",="(2)"
="",="lngdp",="lngdp"

="lnfdiout",="0.000136**",="0.000166"
="",="(0.0000645)",="(0.000119)"

="lnsaving",="0.0214***",="0.0197***"
="",="(0.00231)",="(0.00359)"

="grpop",="-0.771***",="-0.855***"
="",="(0.139)",="(0.252)"

="lnhc",="0.0245***",="0.0189"
="",="(0.00787)",="(0.0141)"

="L.lngdp",="0.981***",="0.978***"
="",="(0.00194)",="(0.00340)"

="_cons",="0.146***",="0.170***"
="",="(0.0174)",="(0.0278)"

="Year Dummies ",="Yes",="Yes"

="N",="3787",="1695"
="r2",="0.998",="0.997"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
