
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp"

="lntot",="0.122***",="-0.0472",="0.163",="-0.148",="0.180**"
="",="(0.0186)",="(0.230)",="(0.308)",="(0.175)",="(0.0780)"

="lntot2",="",="0.0177",="-0.00656",="0.0300",="-0.0168**"
="",="",="(0.0242)",="(0.0325)",="(0.0185)",="(0.00820)"

="lnsaving",="",="",="0.0427***",="0.0193***",="0.0124***"
="",="",="",="(0.00803)",="(0.00391)",="(0.00198)"

="grpop",="",="",="-10.66***",="5.020***",="-0.709***"
="",="",="",="(1.907)",="(1.409)",="(0.152)"

="lnhc",="",="",="",="3.065***",="0.0443***"
="",="",="",="",="(0.0687)",="(0.00823)"

="L.lngdp",="",="",="",="",="0.979***"
="",="",="",="",="",="(0.00201)"

="_cons",="7.621***",="8.015***",="7.680***",="6.678***",="-0.314*"
="",="(0.0987)",="(0.546)",="(0.731)",="(0.416)",="(0.185)"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="3576",="3576",="3576",="3576",="3576"
="r2",="0.954",="0.954",="0.951",="0.974",="0.998"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
