
="",="(1)",="(2)"
="",="lngdp",="lngdp"

="lntot",="0.180**",="0.282**"
="",="(0.0780)",="(0.126)"

="lntot2",="-0.0168**",="-0.0251*"
="",="(0.00820)",="(0.0131)"

="lnsaving",="0.0124***",="0.0164***"
="",="(0.00198)",="(0.00341)"

="grpop",="-0.709***",="-0.924***"
="",="(0.152)",="(0.266)"

="lnhc",="0.0443***",="0.0369***"
="",="(0.00823)",="(0.0130)"

="L.lngdp",="0.979***",="0.971***"
="",="(0.00201)",="(0.00319)"

="_cons",="-0.314*",="-0.529*"
="",="(0.185)",="(0.305)"

="Year Dummies ",="Yes",="Yes"

="N",="3576",="1563"
="r2",="0.998",="0.997"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
