
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp"

="lntariff",="-0.307***",="-0.315***",="-0.244***",="-0.0817***",="-0.00628***"
="",="(0.0208)",="(0.0209)",="(0.0202)",="(0.0136)",="(0.00194)"

="lnsaving",="",="0.174***",="0.159***",="0.0860***",="0.0142***"
="",="",="(0.0321)",="(0.0280)",="(0.0171)",="(0.00272)"

="grpop",="",="",="-22.00***",="7.860***",="-0.289**"
="",="",="",="(2.881)",="(2.345)",="(0.146)"

="lnhc",="",="",="",="3.058***",="0.0456***"
="",="",="",="",="(0.0898)",="(0.00918)"

="L.lngdp",="",="",="",="",="0.974***"
="",="",="",="",="",="(0.00225)"

="_cons",="9.798***",="9.270***",="9.431***",="6.399***",="0.223***"
="",="(0.0811)",="(0.132)",="(0.120)",="(0.121)",="(0.0208)"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="2554",="2554",="2554",="2554",="2554"
="r2",="0.957",="0.957",="0.963",="0.982",="0.999"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
