
="",="(1)",="(2)"
="",="lngdp",="lngdp"

="lntariff",="-0.00628***",="-0.00674*"
="",="(0.00194)",="(0.00370)"

="lnsaving",="0.0142***",="0.0198***"
="",="(0.00272)",="(0.00382)"

="grpop",="-0.289**",="-0.321"
="",="(0.146)",="(0.246)"

="lnhc",="0.0456***",="0.0305**"
="",="(0.00918)",="(0.0147)"

="L.lngdp",="0.974***",="0.974***"
="",="(0.00225)",="(0.00340)"

="_cons",="0.223***",="0.195***"
="",="(0.0208)",="(0.0350)"

="Year Dummies ",="Yes",="Yes"

="N",="2554",="1093"
="r2",="0.999",="0.998"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
