
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp"

="lntot",="0.168***",="0.850",="0.928",="1.303",="1.252",="1.525*",="0.853",="0.335",="0.0941"
="",="(0.0584)",="(0.707)",="(0.772)",="(0.896)",="(0.920)",="(0.893)",="(0.740)",="(0.518)",="(0.0953)"

="lntot2",="",="-0.0711",="-0.0777",="-0.118",="-0.112",="-0.149",="-0.0636",="-0.0183",="-0.00574"
="",="",="(0.0722)",="(0.0792)",="(0.0923)",="(0.0948)",="(0.0921)",="(0.0767)",="(0.0541)",="(0.0103)"

="lntariff",="",="",="-0.403***",="-0.525***",="-0.485***",="-0.471***",="-0.371***",="-0.167***",="-0.00711***"
="",="",="",="(0.0216)",="(0.0239)",="(0.0235)",="(0.0231)",="(0.0216)",="(0.0159)",="(0.00215)"

="lnfdiout",="",="",="",="0.00141***",="0.00139***",="0.00131***",="0.000971***",="0.000392*",="0.000102"
="",="",="",="",="(0.000405)",="(0.000403)",="(0.000398)",="(0.000353)",="(0.000236)",="(0.0000736)"

="lntropen",="",="",="",="",="0.297***",="0.252***",="0.249***",="0.0997***",="0.00907***"
="",="",="",="",="",="(0.0441)",="(0.0430)",="(0.0399)",="(0.0280)",="(0.00252)"

="lnsaving",="",="",="",="",="",="0.211***",="0.183***",="0.0996***",="0.0136***"
="",="",="",="",="",="",="(0.0357)",="(0.0315)",="(0.0225)",="(0.00294)"

="grpop",="",="",="",="",="",="",="-23.75***",="5.234**",="-0.648***"
="",="",="",="",="",="",="",="(2.623)",="(2.302)",="(0.181)"

="lnhc",="",="",="",="",="",="",="",="2.836***",="0.0293***"
="",="",="",="",="",="",="",="",="(0.0869)",="(0.0101)"

="L.lngdp",="",="",="",="",="",="",="",="",="0.975***"
="",="",="",="",="",="",="",="",="",="(0.00263)"

="_cons",="7.971***",="6.344***",="7.382***",="6.881***",="5.665**",="4.620**",="6.198***",="5.242***",="-0.0995"
="",="(0.293)",="(1.737)",="(1.893)",="(2.190)",="(2.243)",="(2.182)",="(1.809)",="(1.259)",="(0.223)"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="2134",="2134",="2134",="2134",="2134",="2134",="2134",="2134",="2134"
="r2",="0.961",="0.961",="0.961",="0.952",="0.953",="0.955",="0.962",="0.980",="0.998"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
