
="",="(1)",="(2)"
="",="lngdp",="lngdp"

="lntot",="0.0941",="0.176"
="",="(0.0953)",="(0.161)"

="lntot2",="-0.00574",="-0.0125"
="",="(0.0103)",="(0.0168)"

="lntariff",="-0.00711***",="-0.0147***"
="",="(0.00215)",="(0.00398)"

="lnfdiout",="0.000102",="0.000101"
="",="(0.0000736)",="(0.000130)"

="lntropen",="0.00907***",="0.00168"
="",="(0.00252)",="(0.00411)"

="lnsaving",="0.0136***",="0.0162***"
="",="(0.00294)",="(0.00399)"

="grpop",="-0.648***",="-0.914***"
="",="(0.181)",="(0.285)"

="lnhc",="0.0293***",="0.000545"
="",="(0.0101)",="(0.0172)"

="L.lngdp",="0.975***",="0.971***"
="",="(0.00263)",="(0.00404)"

="_cons",="-0.0995",="-0.244"
="",="(0.223)",="(0.385)"

="Year Dummies ",="Yes",="Yes"

="N",="2134",="942"
="r2",="0.998",="0.998"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
