
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="lngdp",="lngdp",="lngdp",="lngdp",="lngdp"

="lntropen",="0.0387***",="0.134***",="0.140***",="0.0197*",="0.00888***"
="",="(0.0126)",="(0.0172)",="(0.0174)",="(0.0112)",="(0.00180)"

="lnsaving",="",="0.0371***",="0.0396***",="0.0218***",="0.0168***"
="",="",="(0.00579)",="(0.00587)",="(0.00331)",="(0.00173)"

="grpop",="",="",="-5.850***",="4.753***",="-0.726***"
="",="",="",="(1.543)",="(1.394)",="(0.134)"

="lnhc",="",="",="",="2.773***",="0.0283***"
="",="",="",="",="(0.0616)",="(0.00745)"

="L.lngdp",="",="",="",="",="0.981***"
="",="",="",="",="",="(0.00185)"

="_cons",="8.032***",="7.824***",="7.949***",="6.731***",="0.0940***"
="",="(0.109)",="(0.128)",="(0.136)",="(0.121)",="(0.0290)"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="4634",="4634",="4634",="4634",="4634"
="r2",="0.950",="0.946",="0.946",="0.969",="0.997"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
