
="",="(1)",="(2)"
="",="lngdp",="lngdp"

="lntropen",="0.00888***",="0.00507"
="",="(0.00180)",="(0.00311)"

="lnsaving",="0.0168***",="0.0192***"
="",="(0.00173)",="(0.00319)"

="grpop",="-0.726***",="-0.766***"
="",="(0.134)",="(0.232)"

="lnhc",="0.0283***",="0.0253**"
="",="(0.00745)",="(0.0124)"

="L.lngdp",="0.981***",="0.977***"
="",="(0.00185)",="(0.00300)"

="_cons",="0.0940***",="0.135***"
="",="(0.0290)",="(0.0308)"

="Year Dummies ",="Yes",="Yes"

="N",="4634",="2009"
="r2",="0.997",="0.997"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
